fs_show,fs_subject,direction
    取得投资收益收到的现金,取得投资收益收到的现金,
    处置固定资产、无形资产和其他长期资产收回的现金净额,处置固定资产、无形资产和其他长期资产收回的现金净额,
    处置子公司及其他营业单位收到的现金净额,处置子公司及其他营业单位收到的现金净额,
    收到其他与投资活动有关的现金,收到其他与投资活动有关的现金,
投资活动现金流入小计,,
    购建固定资产、无形资产和其他长期资产支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,
    投资支付的现金,投资支付的现金,
    质押贷款净增加额,质押贷款净增加额,
    取得子公司及其他营业单位支付的现金净额 ,取得子公司及其他营业单位支付的现金净额,
    支付其他与投资活动有关的现金,支付其他与投资活动有关的现金,
投资活动现金流出小计,,
投资活动产生的现金流量净额,,
三、筹资活动产生的现金流量：,,
    吸收投资收到的现金,吸收投资收到的现金,
    其中：子公司吸收少数股东投资收到的现金,其中：子公司吸收少数股东投资收到的现金,
    取得借款收到的现金,取得借款收到的现金,
    发行债券收到的现金,发行债券收到的现金,
    收到其他与筹资活动有关的现金,收到其他与筹资活动有关的现金,
筹资活动现金流入小计,,
    偿还债务支付的现金,偿还债务支付的现金,
    分配股利、利润或偿付利息支付的现金,分配股利、利润或偿付利息支付的现金,
    其中：子公司支付给少数股东的股利、利润,其中：子公司支付给少数股东的股利、利润,
    支付其他与筹资活动有关的现金,支付其他与筹资活动有关的现金,
筹资活动现金流出小计,,
筹资活动产生的现金流量净额,,
四、汇率变动对现金及现金等价物的影响,汇率变动对现金及现金等价物的影响,
五、现金及现金等价物净增加额,,
     加：期初现金及现金等价物余额,期初现金及现金等价物余额,
六、期末现金及现金等价物余额,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
