rowid,id,code,name,address,contact,phone
152,152,11000260,北京天鼎衡会计师事务所（普通合伙）,北京市东城区安定门东大街28号2号楼5层511,周文京,84195770
153,153,11000261,北京兴润诚会计师事务所（普通合伙）,北京市西城区广安门南滨河路27号院贵都国际中心A座1609室,刘双,010-83550601
154,154,11000262,北京精诚立信会计师事务所（普通合伙）,北京市西八里庄北里24号楼1单元601室,史海滨,13701358337
155,155,11000265,华利信（北京）会计师事务所有限责任公司,北京市昌平区西环路29号蓝郡商业楼一单元四层,韩冰,010-80101789
156,156,11000266,北京昊伦中天会计师事务所,北京市朝阳区北苑东路19号院2号楼1811,胡以亮,010-84924262
157,157,11000267,北京中证天通会计师事务所（特殊普通合伙）,北京市海淀区西直门北大街甲43号1号楼13层1316-1326,刘振,010-62212990-8181
158,158,11000268,北京中逸兴盛会计师事务所,北京市海淀区紫竹院路1号人济山庄1号楼2501室,马　博,010-88555429/30
159,159,11000269,北京联首会计师事务所（普通合伙）,北京市朝阳区安贞西里二区17号楼二层201室,孙怡,010-62077199
160,160,11000270,北京正大会计师事务所（普通合伙）,北京市东城区灯市口大街33号（716）,黎燕,010-65287061
161,161,11000272,北京中天永信会计师事务所（普通合伙）,北京市西城区车公庄大街9号院五栋大楼B1座10层,董欣欣,010-68330492
162,162,11000273,北京恒介会计师事务所（普通合伙）,北京市东城区安定门东大街28号雍和大厦D座1202室,张进宁,010-64097216
163,163,11000275,北京中川鑫聚会计师事务所有限责任公司,北京市海淀区西三环北路89号中国外文大厦A座1107,刘香,15010457077
164,164,11000276,北京中青瑞会计师事务所有限公司,北京市东城区东直门南大街9号华普花园D座1601室,贾小林,010-65546496
165,165,11000281,北京惠明威会计师事务所有限公司,北京市西城区阜外大街37号国侨宾馆449室,宋晓艳,010-68338910
166,166,11000283,北京中佳誉会计师事务所有限公司,北京市大兴区清澄名苑北区27号楼3-806,张凤莲,010-69253706
167,167,11000284,北京创纪会计师事务所有限公司,北京市朝阳区东三环北路38号院3号楼安联大厦1103室,岳雅峰,010-85910810
168,168,11000285,中诚信安瑞（北京）会计师事务所有限公司,北京市西城区车公庄大街9号五栋大楼B座2单元402,郭靖,010-88312162/12161
169,169,11000286,北京中金华会计师事务所有限公司,北京市通州区新华西街60号院2号楼8层821,郭勇,010-82800030
170,170,11000287,北京中天华茂会计师事务所,朝阳区慈云寺北里210号楼远洋国际中心E座11层,李悦,010-85775016 13220165798
171,171,11000288,北京中永恒会计师事务所有限责任公司,北京市石景山区城通街26号院4号楼807室,刘占先,010-65683719
172,172,11000289,北京中企华君诚会计师事务所有限公司,北京市西城区展览馆路甲26号2号楼415室,张海平,010-68341550
173,173,11000290,北京中立鸿会计师事务所有限责任公司,北京市海淀区西直门北大街32号院2号楼12层1206,李玉萍,010-62237786
174,174,11000291,北京东湖会计师事务所有限公司,北京市朝阳区建国路88号3-2503,张荧,010-65851123
175,175,11000294,北京恒维信会计师事务所有限公司,北京市朝阳区广渠路33号院4-4-301室,王英杰,010-87760806
176,176,11000295,北京摩斯伦会计师事务所（普通合伙）,北京市东城区建国门北大街8号华润大厦1201-59,杨俊辉,010-58111734
177,177,11000296,北京红日会计师事务所有限责任公司,北京市东城区东安门大街王府世纪６０２室,李海泉,010-85182802
178,178,11000297,北京安诺会计师事务所（普通合伙）,北京市海淀区长春桥路5号4号楼1009,张轶,82563833
179,179,11000298,北京普德会计师事务所有限责任公司,北京市朝阳区东土城路5号9栋229室,张世和,010-52979825
180,180,11000299,北京中泽永诚会计师事务所有限公司,北京市西城区南滨河路27号贵都国际中心A座1604-1607室,崔学军,010-63402571-658
181,181,11000300,北京新时代兴盛会计师事务所有限责任公司,北京市东城区安德路59号,王启生,010-84122990
182,182,11000301,北京中诚恒平会计师事务所有限公司,北京市东城区东直门南大街9号华普花园D座802,张妍梅,010-66056934
183,183,11000302,北京嘉合广信会计师事务所有限公司,北京市朝阳区安翔里1号华盛乐章53幢2单元201,李嘉珠,010-64839584
184,184,11000304,北京华益和会计师事务所有限公司,北京市丰台区宋家庄交通枢纽四层,陈维奇,010-87820317
185,185,11000305,北京万隆松德会计师事务所有限公司,北京市朝阳区工体东路18号2号楼二层A2015内2,石琦,13323399558
186,186,11000306,北京中汉德会计师事务所有限责任公司,北京市通州区四员厅街潞河名苑7号楼B座508室,张润江,010-69559201
187,187,11000307,北京中成仁达会计师事务所有限责任公司,北京市丰台区汽车博物馆东路6号院盈坤世纪G座3层302,刘五爱,010-63735096
188,188,11000308,北京同道兴会计师事务所有限公司,北京市朝阳区东土城路13号金孔雀艺术世界A座615室,闫丽敏,010-64299713
189,189,11000310,北京中天华义会计师事务所有限公司,北京市朝阳区新源里16号琨莎中心2号楼506室,岳华青,010-84683529
190,190,11000311,北京睿合达会计师事务所有限公司,北京市丰台区富丰路4号1至2层2B01,张建飞,88395029
191,191,11000312,北京大通会计师事务所,北京市宣武区白广路二条1号综合楼,刘青梅,010-63414415
192,192,11000314,北京安瑞普会计师事务所有限公司,北京市西城区阜成门外大街2号12层A1212,孟力,010-68029188
193,193,11000315,北京荣达会计师事务所有限公司,北京市海淀区知春路甲48号盈都大厦C座2单元12D,陈钧,010-58731365
194,194,11000316,北京中资信达会计师事务所有限公司,北京市丰台区南四环西路128号院2号楼5层503室,陈智辉,010-83688216
195,195,11000317,北京众合德会计师事务所有限公司,北京市海淀区翠微路新华联商业大厦4层3单元5A01,曾广飞,010-63324186
196,196,11000318,北京匡正会计师事务所有限公司,北京市海淀区北三环西路32号恒润国际大厦1507室,张毅,010-62150940
197,197,11000319,北京恒信诚会计师事务所有限责任公司,北京市东城区珠市口东大街6号,韩建民,010-67011330
198,198,11000320,北京慧运会计师事务所有限公司,北京市朝阳区建国路88号SOHO现代城A座3211,安纪民,010-85804688
199,199,11000321,北京高德悦勤会计师事务所（普通合伙）,北京市朝阳区安苑东里一区2号楼401室,金令,010-64926657
200,200,11000322,北京华成合兴会计师事务所有限公司,北京市大兴区兴政街科技大厦205,王玉姣,010-69202907
201,201,11000324,北京标冠会计师事务所有限公司,北京市朝阳区建国路93号院万达广场4号楼3002,徐洪波,010-58205562
202,202,11000325,北京永勤会计师事务所有限公司,北京市海淀区上地东路1号院1号楼1层104室,刘莹,010-82563461
203,203,11000326,北京正旭会计师事务所有限公司,北京市海淀区复兴路17号国海广场D座2517室,刘良贵,010-59706087 13521190838
204,204,11000328,北京华审会计师事务所有限公司,北京市海淀区阜成路58号新洲商务大厦203室,张红,010-88145809
205,205,11000330,北京公实会计师事务所（普通合伙）,北京市昌平区昌平镇宽街综合楼二层,白云,010-80108501
206,206,11000331,北京信和标准会计师事务所有限公司,北京市顺义区仁和镇仓上小区37号楼3层2单元302,张红,010-69431888
207,207,11000332,北京国信浩华会计师事务所有限公司,北京市海淀区北三环中路46号2号楼3601室,宋淑珍,010-62019086
208,208,11000334,北京安普德明会计师事务所有限公司,北京市西城区西华门大街17号,屈殿凤,010-58528092
209,209,11000335,北京中永众合会计师事务所有限责任公司,北京市朝阳区郎辛庄北路58号院3001号,来宏毅,010-85380700
210,210,11000337,北京德强会计师事务所有限公司,北京市朝阳区北苑路170号6号楼1102室,冯志伟,010-56297384
211,211,11000338,北京中环阳光会计师事务所,北京市丰台区富丰路2号星火科技大厦7层722房间,宋家忠,010-63810002-
212,212,11000339,北京金华诚信会计师事务所有限责任公司,北京市西城区阜外大街甲6号201,姜燕芬,010-68021939
213,213,11000341,北京哲明会计师事务所有限责任公司,北京市西城区德外新风街2号天成科技大厦B座4001-1室,李爱霞,010-82271523
214,214,11000342,北京恒浩会计师事务所有限公司,北京市顺义区仓上小区37号楼1单元302,邵德春,010-69431888
215,215,11000343,北京中益信华会计师事务所有限公司,北京市怀柔区府前街3号楼2单元802室,冯洪涛,010-69653771
216,216,11000344,北京瑞诚易通会计师事务所有限责任公司,北京市海淀区东冉北街9号A幢一层1019,柳涛,010-88192248
217,217,11000345,北京和成会计师事务所有限公司,北京市海淀区西直门北大街甲一号依都阁20B,杨丽,010-62228525
218,218,11000346,北京永信公平会计师事务所有限公司,北京市石景山区实兴大街30号院8号楼10层1002室,赵永杰,010-68925293/68925291/68925296
219,219,11000347,北京中逸信诚会计师事务所有限公司,北京市大兴区黄村镇三合南里22号楼北转角底2层201室,李方正,010-57454618
220,220,11000348,北京中纪会计师事务所有限责任公司,北京市朝阳区关东店北街1号国安大厦15层1508室,孙丽云,010-65954510
221,221,11000349,北京互仁和会计师事务所有限公司,北京市丰台区贾家花园3号院21号楼1单元202,赵婷婷,010-87598340
222,222,11000350,北京中永信会计师事务所有限公司,北京市朝阳区惠新西街16号蓝珏苑3-1502,周燕,010-84888270
223,223,11000351,北京润盛嘉华会计师事务所有限公司,北京市崇文区幸福家园小区7号楼405室,王强,010-67140651
224,224,11000352,北京正瑞华会计师事务所有限责任公司,北京市丰台区南四环西路128号诺德中心三号楼1915室,姜玲,010-63841520
225,225,11000353,北京崇信会计师事务所有限公司,北京市海淀区北小马厂6号华天大厦2213室,程红,010-58891216-603
226,226,11000354,北京中万华会计师事务所有限责任公司,北京市朝阳区水碓子东路甲15号,庄女士,15201424836
227,227,11000355,北京中审时代会计师事务所有限责任公司,北京市海淀区中关村南大街48号院C4028,狄彬,010-62271445
228,228,11000356,北京中天正旭会计师事务所有限责任公司,北京市海淀区笑祖塔院天兆家园1号楼5单元2001室,刘俊华,010-6224-5551
229,229,11000357,中财汇信（北京）会计师事务所有限公司,北京市丰台区宋家庄交通枢纽写字楼2层215室,白轶,010-87653206
